". tabdisp rank which_category, cell(bea_sum num_workers) cellwidth(20) "
"","","","","","","","","","","which_category","","","","","","","","","","","","",""
"rank","businessservs","","clothingperscare","","education","","exports","","food","","gov","","heath","","housing","","investment","","recreatnleisure","","transportation",""
"64","3221","15414.83","3270","19748.01","3361","30619.97","3222","95522.58","3339","57711.46","3391","70092.46","3210","68973.04","331A","69893.91","1130","109576","3270","86832.18","3339","45956.29"
"65","5500","12945.47","4850","18905.01","4820","28416.37","3221","94784.88","3341","53758.71","1110","65582.19","336A","68590.54","4810","69337.92","1110","105141.5","3370","83097.81","336B","45541.69"
"66","331A","12168.13","3391","18030.44","3391","28054.23","334A","89341.51","3323","51857.68","334A","63531.13","3221","67534.53","3341","67042.48","2123","102775.1","3361","78686.29","5620","43785.86"
"67","532A","12127.41","3341","16265.45","3351","27562.69","3252","86522.34","331A","50016.72","5120","63131.28","813B","61918.11","6100","63193.26","331B","90754.56","4830","73824.42","3364","42290.08"
"68","3323","11438.62","5620","15771.28","3222","26387.36","3334","83089.77","3251","48804.46","3332","59381.48","5190","56586.78","3332","62658.85","5620","90561.33","3345","73695.31","3315","38344.45"
"69","4820","11411.49","5120","15726.03","3332","25866.35","3130","81126.7","5500","46990.51","4820","56576.5","3345","55386.19","3391","62127.47","3336","86839.92","2213","73620.33","3335","37347.34"
"70","3222","10945.16","3259","15145.82","3254","25805.18","331B","80830.38","336B","45254.32","3254","52382.9","3332","55283.05","3352","60462.95","S002","84287.57","3210","70173.33","5324","37265.74"
"71","3332","10775.22","5615","13663.1","3150","23885.66","8111","79005.63","1130","45079.98","3331","50371.07","4820","55213.82","1130","60322.67","3251","83045.83","5620","68430.62","2213","28557.69"
"72","4830","9625.43","4820","12996.1","3334","23836.41","6100","76963.08","7130","44858.86","3339","50050.34","5120","54931.74","3359","57965.18","813B","82325.88","5180","64576.78","331B","28421.78"
"73","3333","9110.84","5190","12661.58","5180","23303.97","5615","76503.82","813B","43254.57","2213","49901.65","5321","53722.29","3331","57256.93","3315","81180.02","5112","63586.09","3331","27829.67"
"74","2213","8936.98","3323","12543.85","8140","21854.75","4850","76410.34","5615","40937.35","3222","49324.37","5500","52727.9","3240","51869.78","5112","78081.55","3323","56577.36","3130","27789.74"
"75","3240","8335.22","5152","12094.48","331A","21478.91","1150","74552.24","5152","38154.09","7130","49246.38","7130","52635.05","2130","50754.08","3333","76854.22","331A","52183.06","5120","27346.61"
"76","5112","8332.45","331A","10121.99","3251","20856.98","5500","74483.25","5321","35593.3","3221","48766.84","3130","45040.75","3339","48023.25","8120","75802.85","3332","50756.45","3345","27106.37"
"77","3364","8151.56","3339","9830.74","3323","20513.42","811A","73004.04","331B","34451.22","1130","46586.78","2213","41689.73","3252","47611.81","5190","75416.62","3221","48441.1","5500","27076.09"
"78","3345","8149.84","1120","9507.24","3256","20014.32","5190","72294.48","2213","32777.39","3251","45790.63","3255","40924.43","3353","45474.25","3353","74362.89","5321","46783.79","5190","26006.56"
"79","336B","7919.78","5321","8644.96","334A","19435.34","332A","67176.33","3140","32491.77","6240","45429.22","3240","38761.21","3254","44844.84","3130","72099.46","532A","44945.44","3140","25073.34"
"80","3335","7851.26","5500","8296.94","5152","17976.14","3359","65980.16","3334","32148.87","5180","43050.77","331A","38511.17","336B","44828.85","3324","68433.36","3222","37486.12","3221","24882.5"
"81","813A","7586.79","336B","7742.82","3331","16606.77","3240","65835.7","2212","30411.16","2123","42495.72","5152","38260.19","3110","40334.77","3140","66597.55","3251","37456.59","3222","24046.42"
"82","3140","7557.71","3351","7589.07","5321","16572.47","3315","65678.72","3130","28167.54","3334","41151.37","3339","36929.76","5120","39540.18","3222","66120.99","4820","36761.98","334A","23871.63"
"83","3331","7480.36","3255","7521.25","3121","16405.28","3140","63174.77","3240","27635.83","3359","39392.28","3140","36910.16","3345","39302.52","5615","63109.27","3130","34338.93","3252","23486.07"
"84","3359","7404.47","2213","7285.15","3339","15773.25","4830","62895.98","3252","26138.77","813B","38817.31","3323","35608.72","7130","39299.93","3221","62624.76","3339","33670.08","3359","22487.1"
"85","3130","7188.02","3359","7173.6","336B","15694.25","S002","61179.95","5190","25535.35","5112","38336.71","5250","35000.55","4860","36586.34","6100","61338.84","3150","33588.04","3160","21959.15"
"86","3351","7178.98","332A","7104.11","3333","14089.75","3351","59977.25","3254","25514.76","1120","36939.79","334A","31462.31","2110","35644.77","5120","60427.79","1130","32646.95","3110","21725.62"
"87","5324","7053.81","334A","6982.67","2130","14057.36","5324","59863.95","3335","24972.6","3335","36456.23","532A","30989.71","5321","34578.5","3352","57030.94","1150","32339.92","1110","20815.2"
"88","3339","7016.9","1130","6730.45","3335","13700.32","3259","59625.82","334A","24247.65","3240","36193.93","5180","26800.25","5190","33818.86","3321","56511.05","3359","30682.84","7130","20084.6"
"89","3251","6820.58","3240","6633.07","3345","13378.04","8120","54719.29","3333","23770.1","331B","34520.78","336B","25735.43","3334","33746.08","5500","54736.69","3331","29489.76","3150","20055.44"
"90","S006","6771.8","2212","6160.78","5112","13350.55","3336","54158.84","3351","22228.64","3333","33923.04","3331","24690.08","3335","33228.88","332A","50923.03","3254","28988.71","5250","19951.2"
"91","331B","5573.3","3333","6068","1130","13279.49","1130","53335.06","3259","21167.45","3140","33326.19","3333","23976.03","2123","31450.14","3252","50312.16","3140","28767.48","2212","19703.25"
"92","3259","5390.99","3353","5869.78","3240","13146.97","5620","52694.91","2121","21146.54","3150","33234.97","2212","23748.36","3256","31020.7","3240","49202.96","5500","28286.37","3324","18952.24"
"93","3334","5377.01","3331","5867.33","3259","12975.95","2123","52171.22","3345","20959.87","3130","31347.34","3351","23122.63","3150","30647.1","5152","45535.21","331B","27522.55","3351","18727.38"
"94","3121","5368.24","3315","5587.85","2121","12841.19","3333","49771.95","3359","20847.65","3324","29226.8","1130","22549.43","331B","30001.14","5321","45352.07","3351","26643.54","3321","17873.41"
"95","2302","5241.06","5180","5228.67","5500","11679.73","3353","48136.53","3150","20307.08","3353","29139.45","2123","22493.6","334A","29049.92","7130","43892.14","3335","26281.7","5152","17838.77"
"96","3150","5169.48","331B","5205.24","1150","11357.26","2121","48134.59","3253","18794.01","6210","28670.84","3335","22404.88","5500","28703.69","5324","43247.16","5324","22629.56","4860","16905.72"
"97","6220","5057.71","3321","5172.35","5161","10747.38","3324","47281.96","5180","17997.14","3259","27978.35","3150","22191.08","5152","28436.06","3259","41315.56","3252","22246.83","3334","16837.84"
"98","1130","4777.87","3324","5087.36","3130","10713.15","3150","44454.44","3256","17616.68","6220","27221.5","5324","22057.61","3324","27598.97","3255","40473.8","332A","21839.18","3353","15628.32"
"99","3324","4737.19","3345","4984.06","2123","10413.92","813B","43967.41","2123","17196.21","4830","26926.64","3253","20133.44","2302","25630.39","3110","39475.23","6210","21572.48","5180","15053.35"
"100","2121","4625.91","3334","4937.54","3364","9978.72","3121","42313.19","3353","17097.19","5500","26868.19","3121","19289.98","532A","25611.51","2212","31410.79","3353","21052.96","1130","14348.67"
"101","3160","4541.59","2123","4798.76","3359","9737.36","2130","41384.01","2130","16881.5","5321","26067.06","2130","19231.05","3259","25000.36","3322","30823.83","3259","19942.34","2121","14298.99"
"102","3391","4255.29","1150","4370.36","4860","9626.98","3352","39887.24","3364","14777.46","3315","24742.83","3364","19007.33","332A","22782.42","5180","30768.6","3333","19683.57","3336","14216.44"
"103","3322","4028.98","5324","4339.95","6220","9279.03","3321","39400.25","532A","14455.95","3252","23561.18","3324","18757.4","3336","20341.7","2121","27675.79","3240","19151.3","5330","14184.6"
"104","3252","3938","3364","4239.11","2110","9215.18","5152","35721.1","3315","14391.02","5152","22856.04","3353","18487.89","3333","20003.32","1150","26982.34","2212","18530.27","3259","13335.35"
"105","2212","3891.63","2121","4148.22","331B","9179.26","3255","35209.37","5324","14132.05","2130","21428.85","331B","17080.64","5180","19891.99","3150","26171.92","3315","17913.27","3333","13204.96"
"106","1150","3860.22","3336","3958.06","5324","9002.63","2122","34065.71","4830","13977.03","3321","21073.52","2121","15741.69","1120","19441.53","2213","26096.62","3334","17733.54","4830","12405.44"
"107","S005","3718.15","3335","3940.22","3252","8588.51","7130","29982.73","3391","13021.4","3322","20853.2","5112","15044.06","5324","19373.68","2122","25949.84","3324","17361.67","3391","11969.21"
"108","5161","3417.86","532A","3892.04","3140","8470.5","5180","29466.63","3321","11040.81","5324","20783.74","3334","14812.33","1150","18792.84","2110","23217.68","3256","17179.45","2123","11874.59"
"109","2130","3120.7","3253","3876.06","3322","8309.9","2212","28250.52","2110","10547.64","2212","20114.36","3359","14785.8","3255","18657.92","3160","22532.48","2130","15814.84","3322","11338.32"
