. table bea67 occ21 [pw = perwt], cellwidth(10)

---------------------------------------------------------------------------------------------------------------------------------------------
        |                                                                occ21                                                               
  bea67 |   Military MGRS & SAL LAWYERS &  HEALTH DIA ACCT & OTH SALES REP  SCI PROF & OTHER BUS    TEACHERS ARTS & LET MGRS & SAL B_C SUP & 
--------+------------------------------------------------------------------------------------------------------------------------------------
     22 |                         13,674.5              71,445.4    103,684              2,928.64   46,594.5           
     23 |              9,227.06    172,440               146,894    769,097                24,569    117,984           
     24 |              18,944.3    182,814   1,173.75    185,044    725,109   2,589.18   20,997.7    142,429           
     25 |              5,319.68   65,412.7               148,692    427,637              7,345.95    104,852           
     26 |              6,923.08    184,330               827,229    1225347    521,217   46,594.6    103,148           
     27 |               107,007    265,749    2,712.2    354,526    729,325   5,189.26   39,294.6    170,252           
     28 |              19,703.8   26,193.7               111,335    112,866                12,726     33,856           
     29 |              52,549.4   37,240.6               168,305    158,449   4,236.87   28,105.6   73,279.7           
     30 |              17,145.7   12,490.3              50,984.8   59,450.6              2,333.92   19,163.3           
     31 |              46,691.1   93,537.5               218,786    219,010   1,505.73   8,946.68   61,144.6           
     32 |              33,073.9    129,135               209,629    904,278              32,311.9    118,532           
     33 |              1,196.11   1,244.64              20,322.6   58,438.9                         16,419.2           
     34 |                         31,769.7                77,631    732,683   5,210.23   3,756.44   46,897.5           
     35 |              9,932.88   65,149.2              67,492.6    263,915              10,094.4   63,886.6           
     36 |              21,813.6    133,828               137,717    627,242              15,090.1    200,740           
     37 |              47,257.6    468,307               270,401    1071436                48,452    461,532           
     38 |              26,211.8    206,556               142,055    588,129              18,891.7    104,906           
     39 |              27,932.8    207,440   1,132.72    154,746    643,763              23,801.4   91,924.3           
     40 |              43,935.8    304,723               135,432    601,088              11,821.9   77,022.1           
     41 |              27,110.5    129,143               116,360    346,809              10,758.8   59,591.7           
     42 |              8,442.42   54,946.4              90,272.9    283,106   1,316.49   9,798.59   36,744.4           
     43 |              11,830.8   53,996.2              38,293.4    135,835              3,896.24   5,288.53           
     44 |              8,268.02    104,152               193,300    338,615   11,858.7   10,439.7   46,557.8           
     45 |              10,451.9    118,429              86,121.8    134,829   7,302.94      6,228   23,526.5           
     46 |              11,729.7    130,025              68,850.8    147,215   11,348.3   9,568.24   17,721.5           
     47 |              28,405.5    194,380               126,449    326,802   12,648.7   17,295.3   26,882.9           
     48 |              2,521.95   23,247.8              41,046.8   15,790.3   5,350.33   1,573.41                      
     49 |                         36,975.5              34,869.4   10,636.6   3,699.75    1,171.6   5,138.75           
     50 |              84,610.8    335,834               234,899    703,426   6,332.38   19,838.6   66,918.7           
     51 |              57,749.1    153,831   2,316.93    233,210    302,510   13,870.1   5,948.82     23,249           
     52 |              1,162.95   7,123.65              47,393.3   69,116.3   1,085.93              53,223.2           
     53 |                47,685    143,655               266,133    411,941   26,750.9   10,413.6   54,607.6           
     54 |              78,710.2    146,727               273,763    784,688              15,212.4     83,911           
     55 |                         9,227.59              41,972.7   9,728.69   1,399.38   1,301.35   5,617.51           
     56 |               134,629    250,258               455,712    1412445   3,621.24   48,934.5   93,738.2           
     57 |              2,501.36   2,328.96              3,713.24   10,526.5                         1,202.14           
     58 |              43,020.7    498,373               325,398    1778039   1,184.74   83,572.3    169,740           
     59 |               115,242    387,408   1,190.72    381,468    648,275   2,676.89   41,958.7   32,240.7           
     60 |              21,778.5    367,232              91,879.8    214,575               9,870.5   45,412.8           
     61 |              57,125.4    389,394   1,362.96    289,576    848,519              33,397.7   80,881.6           
     62 |              20,828.5   59,441.9              97,698.5    171,342               3,684.8   12,199.9           
     63 |              20,374.3     56,268              68,791.9    181,152              12,752.4   14,532.1           
     64 |              11,516.9    1017952   5,146.99    635,802    1144049   10,842.9   60,476.9    331,192           
     65 |              51,010.3    745,612   6,551.06    3241200    2832010   75,455.2    347,456    789,348           
     66 |              35,293.4    325,449   1,221.77    254,769    103,619     12,517   15,904.9   51,258.5           
     67 |              30,142.9    742,694               1475076   29,657.5   27,516.5   32,657.2   22,061.5           
     68 |              46,123.4    562,245   1,254.63    644,553    556,831   55,285.1   37,511.2    403,349           
     69 |              14,177.5    2738412   10,230.1    5300337    2518387    9710339    6732345    2036907           
     70 |              17,394.1    175,497   2,538.84    3456203    136,781   92,489.2    399,271   62,812.5           
     71 |                         10,968.7               112,511   17,575.4   9,348.09   3,080.29   5,246.11           
     72 |               244,716    378,396   8,783.19    942,398    1642916    194,094    9562196    383,391           
     73 |               315,403    561,727    234,228    4062227    506,962    163,323    2857955    193,888           
     74 |                         1,327.01              91,590.6   61,283.5    698,405    118,287     35,917           
     75 |              3,890.73    721,622               124,823    328,302   29,059.6   10,814.3    188,945           
     76 |               164,289   99,203.9   5,176.12    652,914    161,601   54,208.4    1015936   58,364.6           
     78 |               118,088    362,103    642,414    1442784    229,893   20,209.7    305,734   78,599.4           
     79 |               127,295    337,312    608,307    1528540    187,219   14,742.6    290,512    112,340           
    110 |              64,853.7    179,086   10,018.5    712,876    101,522   34,972.8    955,295   39,941.8           
    111 |               1481652    300,884   54,419.5    2745044    294,410   39,554.5    3888646   60,361.5           
-----------------------------------------------------------------------------------------------------------------------
