". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"67","","164,461","","5,390.81","17,488.3","1,403.4","109,776","","","11,811.4","","40,183.4","","16,543.1","735,511","","56,684","25,690.5","9,488.08","18,730.5","20,845.3",""
"68","","330,729","","","50,792.3","117,787","65,573.6","","","14,054.5","38,982","148,960","","44,819.7","562,245","1,254.63","283,051","547,982","38,268.8","21,228.2","398,699",""
"69","","589,762","7,673.91","3,917.21","708,950","23,449.8","33,734.2","4,225.27","5,310.82","183,439","5842877","160,526","","11,824.5","2459051","5,070.54","1122958","2381990","3189469","2334648","1725012",""
"70","","1470035","19,945.4","1,275.94","247,876","1547855","45,074.9","","1,195.2","45,080.8","35,928.6","9,045.67","","14,542.2","171,432","2,538.84","667,470","126,394","24,228.2","274,548","61,524.4",""
"71","","","","","5,188.8","34,301.2","1,453.87","","","59,782.5","117,696","","","","10,968.7","","19,613.6","13,411","6,857.88","1,938.88","2,649.87",""
"72","","6,737.51","3,075.51","","34,666.3","1,532.4","12,609.3","1,263.61","5,653.2","375,802","1350997","24,863.4","","83,234.9","345,734","8,783.19","146,918","840,835","34,682","1104014","351,258",""
"73","","637,940","28,923.2","9,265.92","518,951","4,093.5","311,633","12,787.9","1939592","513,246","697,124","79,989","","213,844","532,332","231,709","542,046","396,944","76,659.8","1198492","160,298",""
"74","","","","","9,274.88","","","220,239","","","53,239","1,215.9","","","1,327.01","","27,603.6","58,628","129,721","30,771","33,381.4",""
"75","","","","","5,305.49","3,677.22","2,709.78","","4,153.03","","755,572","24,193.3","","3,890.73","715,117","","28,112.9","317,327","22,709.3","8,300.94","182,725",""
"76","","68,425","1,397.76","413,299","7,644.98","","12,852.2","11,075.6","67,254.2","91,172.4","204,596","9,504.31","","36,952.9","96,515.1","3,805.12","62,192.6","143,075","32,154.8","397,132","54,645.4",""
"78","","395,688","49,031","11,828.4","259,949","945.08","199,119","2,052.24","26,584.8","152,927","","53,833.7","","104,260","358,117","630,678","364,156","215,830","8,725.41","185,751","73,590.7",""
"79","","453,861","41,478","12,652","262,714","","205,593","","26,534.9","161,474","","36,952.7","","96,490.5","328,010","595,270","380,309","177,570","5,767.63","206,206","102,867",""
"110","","296,396","5,986.67","13,993.8","27,987.6","","61,366.3","6,650.81","1310085","196,952","4,661.49","17,103.4","","46,853.8","170,063","10,018.5","114,794","88,552.2","9,363.97","543,748","38,741.6",""
"111","","198,805","586,415","712,495","50,221.6","1,278.52","23,576.9","106,357","47,461","118,911","5,296.5","19,049.8","","181,467","263,929","48,310.4","159,166","131,064","3,932.77","884,456","52,680.1",""

". table bea67 occ21 [pw = perwt]  if sex == 2, cellwidth(10)"
"","","","","","","","","","","","","occ21","","","","","","","","","","",""
"bea67","Military","MGRS & SAL","LAWYERS &","HEALTH DIA","ACCT & OTH","SALES REP","SCI PROF &","OTHER BUS","TEACHERS","ARTS & LET","MGRS &","SAL","B_C SUP &","","FARM OWNER","HEALTH & T","CRAFT REPA","PROT SERV","CLERICAL","OPERATORS","SALES","SERV WORKE","LABORERS","FARM WORKE"
"0","9,360","0","","0","","","0","","0","0","0","","0","","","","","","","","","","",""
"1","","7,921.34","","","","","1,311.8","","1,235.89","2,428.19","7,71","3.73","","","100,366","","","","26,102.7","10,384.7","2,080.2","6,504.7","6,770.93","202,955"
"2","","6,196.78","","591.55","3,766.3","","","","","1,204.4","3,46","8.88","1,307.93","","129,679","1,109.95","","","114,825","33,559.6","1,264.38","9,341.45","3,306.03","238,866"
"3","","","","","","","5,294.45","","","","","","","","","989.7","","","14,315.8","2,301.71","","","2,482.92",""
"4","","","","","","","","","","","1,41","7.73","","","13,297.8","1,091.57","","","6,019.14","1,095.84","","","2,585.71","26,109.8"
"5","","1,335.03","","","","","","","","","","","","","","","1,209.49","","18,954.3","1,416.28","","2,722.68","",""
"6","","","","","","","","","","","","","","","","","1,719.57","","14,342.5","","","","1,336.12",""
"7","","","","","","","","","","1,202.14","","","","","","","","","11,860.9","2,773.28","","1,232.3","",""
"8","","1,394.31","","","1,179.39","","1,326.72","","","","1,30","2.75","1,318.84","","","","1,179.2","","68,575.6","1,333.68","","2,632.3","",""
"9","","3,680.47","","","1,279.41","1,226.88","","","","","","","","","","","2,276.57","","44,705.1","","1,118.03","","",""
"10","","","","","","","","","","","","","","","","","1,412.29","","2,767.16","","","","",""
"11","","20,219.3","","","2,593.65","","","","","","7,84","9.08","","","","3,868.17","7,354.84","","295,372","3,408.84","2,890.28","10,175.9","",""
"12","","17,961.9","","","11,974.9","","","","","","6,42","3.89","","","","3,055.58","6,470.57","","264,815","3,776.38","1,279.31","8,547.53","3,478.94",""
"13","","1,206.29","","","1,484.17","","","","","3,663.39","2",",593","","","","1,092.92","1,356.79","","45,480","79,730.9","","4,788.35","13,573.3",""
"14","","30,125.4","","","10,483.2","52,457.3","1,137.48","","1,582.66","3,929.06","15,8","41.3","34,490.9","","","27,218.4","15,821.6","","435,515","580,608","18,403.5","43,639.3","401,261",""
"15","","","","","","","","2,647.63","","","","","2,456.29","","","","","","9,717.34","66,479.8","","2,208.41","11,002.3",""
"16","","4,942.83","","","1,348.06","3,838.4","1,321.38","1,141.81","","10,379.7","3,6","85.1","24,869.8","","","11,462.1","1,387.35","","123,558","1217815","","9,449.26","78,094.3",""
"17","","1,405.52","","","","1,392.13","","","","","","","4,967.84","","","6,548.63","1,212.76","","21,038.1","130,113","","1,706.9","5,043.15",""
"18","","28,635.9","","","10,007.2","7,958.31","","","2,639.86","11,667.2","2,21","8.59","85,371.1","","","1,263.25","7,370.35","","396,393","2805989","6,235.83","13,654.6","114,208",""
"19","","6,680.42","","","","","","","1,329.03","2,628.71","9,68","9.04","4,247.26","","","","","","18,594.2","274,606","","3,472.7","8,815.62",""
"20","","5,288.58","","","1,533.6","2,770.95","","","","","1,28","5.96","1,292.04","","","","1,372.41","","63,035.8","31,621","","","8,555.01",""
"21","","4,006.93","","","","","","","","","","","1,422.54","","","1,507.06","","","21,811.5","54,878","","","9,742.69",""
"22","","1,255.52","","","1,253.2","7,620.95","","","","","2,62","2.29","","","","","","","46,429.7","4,741.41","","1,618.41","1,307.55",""
"23","","4,869.68","","","2,522.38","1,442.09","","","","","","","5,213.38","","","","11,753.4","","85,388.7","221,949","","1,519.41","21,680.7",""
"24","","4,519.14","","","","6,607.29","","","","6,769.96","1,38","7.44","2,643.86","","","1,278.92","1,263.85","","114,879","134,061","1,252.42","5,338.37","21,895.6",""
"25","","6,319.35","","","3,829.79","5,138.78","","1,324.68","","1,301.23","1,2","86.3","5,365.29","","","","3,735.42","","98,406.9","118,220","","","39,741.7",""
"26","","60,248.8","","","8,355.24","28,199","","","","123,664","6,67","8.35","18,558.3","","","1,262.88","47,904.7","","626,097","247,268","29,944","10,852.8","35,538",""
"27","","7,689.94","","","","7,715.79","3,725.28","1,310.15","","5,276.5","","","1,112.28","","","4,143.24","2,449.1","","212,613","134,035","5,189.26","10,145.3","28,461.3",""
"28","","8,815.2","","","","3,941","5,152.01","1,276.15","","","","","","","","6,342.01","962.91","","97,679","58,980.7","","4,712.75","18,220.4",""
"29","","5,055.96","","","1,103.87","5,136.82","1,225.51","","","4,772.59","","","2,528.33","","","13,263.3","2,164.46","","120,327","39,198.6","4,236.87","2,761.55","31,190",""
"30","","4,984.03","","","","","","","","","","","","","","5,448.34","","","34,744.6","3,913.24","","2,333.92","3,976.29",""
"31","","9,043.19","","","2,639.1","9,466.45","","","","1,292.89","1,3","09.8","1,344.2","","","1,245.6","","","143,995","2,429.75","1,505.73","","1,394.17",""
"32","","13,318.8","","","6,386.41","1,363.6","1,202.35","1,374.67","","","2,4","76.8","6,085.46","","","2,512.55","1,084.31","","142,267","380,302","","8,794.03","50,705",""
"33","","","","","","","","","","","","","","","","","","","6,218.1","11,597.9","","","",""
"34","","6,236.28","","","","1,285.61","","","1,214.85","","","","13,862.6","","","","2,683.7","","58,714.9","496,237","5,210.23","1,219.08","29,539.9",""
"35","","1,548.81","","","","1,156.95","","1,319.62","","9,001.56","","","","","","1,121.53","","","43,399.6","74,881.1","","2,648.48","21,466.1",""
"36","","6,361.18","","","1,182.34","","","1,415.2","","","","","2,301.24","","","","1,250.02","","81,897.4","82,486.2","","3,581.28","13,838.4",""
"37","","2,572.81","","","1,365.57","","","2,378.49","","","","","1,311.25","","","","","","112,550","17,212.7","","2,522.67","3,634.65",""
"38","","1,352.84","","","5,387.8","","","2,798.44","","","","","","","","2,269.73","1,423.5","","76,315.1","86,085.1","","2,546.61","18,192.1",""
"39","","5,444.54","","","1,258.82","","","","","1,149.63","","","9,143.52","","","3,903.86","1,380.21","","92,554.7","158,819","","2,525.18","18,752.9",""
"40","","7,573.15","","","2,504.37","","","","","","","","","","","","7,643.01","","72,557.7","42,621.1","","3,635.63","3,917.88",""
"41","","1,465.72","","","","","","1,285.77","","1,216.51","","","1,261.64","","","5,406.05","2,526.97","","80,074.3","113,032","","2,793.54","19,217.1",""
"42","","","","","2,261.65","1,478.46","","1,337.59","","1,167.88","","","","","","","","","61,538.4","117,422","1,316.49","2,680.97","22,783.5",""
"43","","2,860.36","","","","","","","","1,457.39","","","","","","","2,680.99","","26,517.3","23,485.4","","","1,261.08",""
"44","","9,420.65","","","3,943.61","3,785.91","","","","2,428.14","","","","","","","2,718.79","","135,895","16,522.3","1,211.36","","5,616.93",""
"45","","2,577.71","","","","1,364.05","","","","","","","","","","1,275.38","3,481.56","","47,912.2","23,493.9","1,318.72","","2,927.87",""
"46","","4,328.63","","","3,943.22","","","","","","","","","","","","","","42,559.7","19,583.2","6,518.21","3,691.93","1,434.91",""
"47","","2,584.72","","","3,986.68","","","","","","3,80","1.56","","","","1,247.34","1,220.94","","80,735.2","29,292.1","2,395.24","1,421.87","",""
"48","","","","","","","","","","","","","","","","","","","28,002.3","","","1,147.46","",""
"49","","4,221.9","","","1,312.83","","","","","","","","1,248.64","","","","","","22,585.8","","2,538.02","","",""
"50","","11,867.6","","","4,019.77","4,166.37","","","","","1,25","0.78","2,493.8","","","1,249.27","2,584.53","","124,280","204,579","1,181.51","1,293.49","9,256.23",""
"51","","12,125.2","","","2,525.74","1,124.68","","","","1,328.63","","","1,477.31","","","1,375.07","2,786.78","","149,185","131,791","6,346.95","","10,405",""
"52","","6,732.16","","","","","","","","2,617.74","","","","","","","","","23,819.3","1,346.88","","","1,407.83",""
"53","","6,388.08","","","6,679.68","9,155.36","","","1,160.5","3,830.25","1,2","82.8","3,871.83","","","5,786.54","6,569.52","","161,181","185,993","3,745.84","1,310.45","5,407.95",""
"54","","11,788.1","","","3,505.29","2,390.72","","1,232.9","","1,241","","","10,340.3","","","11,823.6","6,530.84","","193,784","452,371","","2,472.36","23,312.9",""
"55","","2,669.13","","","","","","","","","","","","","","","","","25,789.5","1,212.21","","1,301.35","",""
"56","","14,358.2","","","12,690.5","","2,637.05","3,714.63","","12,058.7","","","21,941.1","","","19,794.7","15,483.5","","342,534","953,524","3,621.24","6,917.02","31,731.2",""
"57","","2,441.4","","","","","","","","","","","","","","","","","2,313.44","","","","1,202.14",""
"58","","7,595.05","","","6,194.4","","","5,240.12","","2,631.55","1,26","2.66","1,239.2","","","","7,578.9","","132,401","159,698","1,184.74","6,973.77","11,593.1",""
"59","","14,208.1","","","14,205.4","3,975.02","6,421.88","1,384.66","","10,367.9","","","3,971.39","","","3,067.74","10,040.5","","265,693","101,729","2,676.89","2,711.56","5,595.81",""
"60","","3,269.41","","","2,702.2","","1,277.63","","","","1,20","1.01","","","","","6,523.07","","62,690.7","18,309.9","","","",""
"61","","9,119.32","","","5,096.85","1,385.51","3,583.29","","","","","","3,996.37","","","4,770.23","11,666","","169,352","234,686","","7,692.16","10,635.3",""
"62","","3,987.8","","","2,583.28","","","","","2,420.78","","","","","","1,278.59","7,144","","76,183.6","109,631","","","8,232.89",""
"63","","1,222.13","","","1,257.77","","","","","","","","","","","3,899.03","","","44,257.7","86,723.9","","5,029.11","9,279.91",""
"64","","25,576.5","","","5,249.04","12,199.4","1,557.36","","5,301.11","3,951.4","6,58","2.99","14,701.4","","","","2,474.5","","269,894","485,956","8,561.56","7,954.19","66,444.6",""
"65","","118,057","","","15,910.7","2,670.35","2,574.09","1,352.84","3,956.32","9,510.56","9,84","0.81","","","","","1,243.75","","1082477","237,529","17,965.2","125,814","31,098.1",""
"66","","3,986.28","","","2,781.16","","","","","2,586.4","","","1,197.23","","","","","","152,145","","3,711.42","3,677.37","1,473.47",""
"67","","31,058.6","","","10,879.7","","5,068.77","1,246.26","","11,864.8","","","","","","13,599.8","7,183.62","","1418392","3,967","18,028.5","13,926.7","1,216.16",""
"68","","10,407.7","","","6,574.16","2,588.18","1,262.56","","1,327.32","5,174.7","2,40","2.68","","","","1,303.66","","","361,502","8,848.7","17,016.3","16,283.1","4,650.51",""
"69","","140,713","","","335,777","","","9,092.9","7,880.01","165,530","167","1493","33,997.9","","","2,352.99","279,361","5,159.57","4177379","136,397","6520870","4397697","311,895",""
"70","","263,395","1,342.19","","212,158","332,197","","3,619.54","","22,503.2","11,1","22.6","1,319.78","","","2,851.89","4,064.58","","2788733","10,386.6","68,261.1","124,723","1,288.12",""
"71","","","","","2,750.32","6,534.19","","","1,299.82","19,062.6","10,0","74.1","","","","","","","92,897.1","4,164.36","2,490.21","1,141.41","2,596.24",""
"72","","9,818.13","","","8,391.35","","","26,913.4","10,354.2","163,271","191","6186","10,889","","","161,482","32,661.7","","795,480","802,080","159,412","8458182","32,133",""
"73","","419,989","","5,623.52","193,865","","30,551.9","144,216","4567655","905,706","215",",256","4,432.54","","","101,558","29,394.6","2,519.21","3520181","110,018","86,663.3","1659463","33,590.2",""
"74","","","","","6,541.13","","","21,770.8","","1,351.01","20,4","10.9","","","","","","","63,987","2,655.5","568,684","87,515.7","2,535.6",""
"75","","","","","1,405.62","","","","1,180.72","","22,7","14.6","","","","","6,505.01","","96,710.2","10,975.4","6,350.34","2,513.31","6,220.24",""
"76","","60,909.2","","15,520.2","2,541.59","","1,213.27","245,397","40,151.2","105,482","59,0","22.6","","","","127,336","2,688.86","1,371","590,721","18,525.9","22,053.5","618,804","3,719.28",""
"78","","102,734","1,142.65","","66,747.8","1,328.63","4,163.7","5,577.92","13,691.2","126,800","2,75","3.28","","","","13,827.3","3,986.26","11,735.8","1078628","14,063","11,484.3","119,983","5,008.7",""
"79","","115,339","2,312.96","1,254.93","69,759.5","","10,730.6","16,181.3","14,645.6","121,429","","","1,262.51","","","30,804.2","9,302.39","13,037.6","1148231","9,649.51","8,975.01","84,306","9,473.01",""
"110","","120,200","","3,999.05","6,712.18","","3,690.35","40,692.6","1330873","254,993","","","1,352.17","","","17,999.9","9,023.07","","598,081","12,970.1","25,608.9","411,547","1,200.24",""
"111","","138,215","26,982.8","42,487.8","43,628.8","3,865.82","18,977.5","1905489","28,575.2","191,435","31,5","93.6","6,418.75","","","1300184","36,955.5","6,109.13","2585878","163,346","35,621.7","3004190","7,681.46",""

". table bea67 IO15 [pw = perwt], cellwidth(10)"
"","","","","","","","","IO15","","","","","","",""
"bea67","Military","LABOR AGRI","LABOR HIGH","LABOR LOW","LABOR OTHR","PERSONAL S","RETAIL & W","LABOR HEAL","EDUCATION","POLICE & F","TRANS,COMM","MANAGERS","FIRE & PER","PROF COORD","SUPPORT LA","GOVT ADMIN"
"0","3271065","","","","","","","","","","","","","","",""
"1","","2597261","","","","","3,291.56","18,316.9","11,388.8","","","1240616","","5,614.15","31,222.9",""
"2","","3497563","","","204,811","","4,892.38","29,944.8","17,384.9","","","1703713","","78,763.2","156,234",""
"3","","195,593","","","","","","","","","","53,842.6","","1,375.92","23,463.1",""
"4","","353,099","","","","11,927","1,378.94","6,819.62","1,155.66","","","159,808","","","13,556.9",""
"5","","174,978","","","19,986.3","","","","","","","43,972.1","","14,453.5","27,763.5",""
"6","","191,448","","","15,590.2","","","","","","","41,395.8","","9,450.33","24,172.6",""
"7","","216,096","","","19,002.8","","1,167.8","","","","","28,422.4","","12,802.4","18,927.6",""
"8","","348,090","","","","","6,265.93","","","","","81,475.3","","26,180.7","99,690.3",""
"9","","101,706","","","22,036.3","","3,896.26","","","","","43,381.8","","55,037.1","73,688.1",""
"10","","100,871","","","","","3,961.55","","","","","24,406.2","","1,384.9","6,732.69",""
"11","","","","","5322912","","10,835.7","","1,264.4","","","1569645","","55,051.9","392,591",""
"12","","","","","5312762","","8,980.43","","","","","1617532","","49,199.8","351,652",""
"13","","","432,030","","","","","","","","","54,794.3","","27,744.1","73,232",""
"14","","2,753.09","","4326070","249,756","","12,114.4","1,320.54","1,582.66","","","831,093","","377,062","685,521",""
"15","","","","164,086","","","","2,647.63","","","","15,858.7","","5,136.14","12,666.6",""
"16","","","","2420558","","","","1,141.81","","","","154,146","","60,509.6","193,081",""
"17","","","","495,667","","","","","","","","48,177.8","","14,650.6","50,893.3",""
"18","","","","3315372","739,416","","2,639.89","","3,762.23","","","456,824","","320,935","591,084",""
"19","","","","393,103","","","","","1,329.03","","","50,532.8","","16,360.3","29,984.3",""
"20","","384,216","5,860.98","977,500","21,135.1","","","","","","","300,153","","39,364.8","98,056.8",""
"21","","","","325,347","","","","","","","","31,105","","9,046.26","38,309.9",""
"22","","","","","168,290","","","","","","","102,258","","88,810.2","71,445.4",""
"23","","","","1146405","","","","","1,399.71","","","116,682","","43,588.6","146,894",""
"24","","","","1137539","35,815.9","","1,336.76","","","","","170,517","","91,800","185,044",""
"25","","","","591,876","46,929.6","","","1,324.68","","","","88,203.7","","113,795","148,692",""
"26","","","1998393","23,882.9","","","521,217","","","","","468,424","","208,750","827,229",""
"27","","","1536657","","52,197.3","","5,189.26","2,445.95","","","","307,279","","277,159","354,526",""
"28","","","241,431","","","","","1,276.15","","","","52,365","","24,733.8","111,335",""
"29","","","355,907","","46,300.8","","1,387.25","3,875.84","1,235.96","","","116,853","","188,996","168,305",""
"30","","","123,530","","","","","","","","","36,236.7","","22,942.7","50,984.8",""
"31","","","389,046","","94,261.2","","","","","","","171,178","","155,209","218,786",""
"32","","","1296153","","","","","1,374.67","","","","192,918","","65,352.7","209,629",""
"33","","","","82,054.5","","","","","","","","8,871.57","","5,983.89","20,322.6",""
"34","","","","836,643","","","5,210.23","","1,214.85","","","68,169","","19,384.5","77,631",""
"35","","","","450,106","","","","1,319.62","","","","54,379.4","","35,666.2","67,492.6",""
"36","","","","1054146","","","","1,415.2","","","","137,732","","53,474.2","137,717",""
"37","","","2220694","","","","","2,378.49","","","","158,650","","53,526.9","270,401",""
"38","","","1021712","","","","","2,798.44","","","","107,161","","54,502.5","142,055",""
"39","","","1101187","","","","","","","","","150,192","","73,195.4","154,746",""
"40","","","1105199","","","","","","","","","153,030","","43,182","135,432",""
"41","","","624,642","","","","","1,285.77","","","","76,654.1","","30,455.7","116,360",""
"42","","","415,283","","","","1,316.49","1,337.59","","","","39,984.4","","25,004.7","90,272.9",""
"43","","","231,362","","","","","","","","","38,478.3","","16,452.8","38,293.4",""
"44","","","423,246","","136,342","","1,479.98","","","","","179,287","","103,137","193,300",""
"45","","","263,020","","52,178.8","","","","","","","70,782","","56,508.6","86,121.8",""
"46","","","277,302","","71,028.6","","","","","","","90,056.1","","70,650.2","68,850.8",""
"47","","","615,531","","49,347.7","","","1,464.88","2,466.96","","","118,376","","93,783.4","126,449",""
"48","","","","","49,823.5","","","","","","","42,633.7","","18,226.2","41,046.8",""
"49","","","","","58,812.5","","","","","","","46,815.2","","35,680.8","34,869.4",""
"50","","","1322948","","46,273.1","","","","","","","233,427","","151,875","234,899",""
"51","","","582,456","","60,472.9","","2,619.86","","1,226.45","","","228,565","","141,590","233,210",""
"52","","","","","131,712","","","","","","","100,900","","93,751","47,393.3",""
"53","","","594,088","","190,083","","","","1,160.5","","","222,058","","235,013","266,133",""
"54","","","1241447","","28,481","","","1,232.9","","","","218,421","","130,078","273,763",""
"55","","","","","28,623.5","","","","","","","24,229","","50,625.4","41,972.7",""
"56","","","2185416","","","","3,621.24","3,714.63","1,313.36","","","241,141","","133,594","455,712",""
"57","","","24,400","","","","","","","","","12,119.4","","5,165.26","3,713.24",""
"58","","","2759064","","","","1,184.74","5,240.12","1,333.63","","","238,044","","94,850.6","325,398",""
"59","","","1585261","","50,161.9","","","1,384.66","5,672.27","","","250,017","","156,379","381,468",""
"60","","","712,377","","","","","","","","","44,786.2","","10,724","91,879.8",""
"61","","","1621005","","","","","","","","","216,543","","94,838.3","289,576",""
"62","","","305,762","","","","","","","","","42,900.8","","35,614.6","97,698.5",""
"63","","","333,446","","","","","","","","","44,211.3","","23,590.4","68,791.9",""
"64","","","1134828","","1543532","","9,487.58","","5,301.11","","","393,725","","152,177","635,802",""
"65","","","","","3002589","","75,455.2","1,352.84","7,813.21","","1355721","999,417","","192,471","4196052",""
"66","","","","","587,486","","12,517","","","","16,272.4","116,230","","30,989.4","262,986",""
"67","","","","","14,115.7","","27,516.5","6,637.07","","","995,734","221,588","","29,771.4","1475076",""
"68","","","","","1739736","","53,947.2","","1,327.32","","","467,235","","196,971","644,553",""
"69","","","","","55,182.8","8483772","1.93e+07","15,860.3","11,908","","","3800382","2940594","1007707","3324795",""
"70","","","","","","","","","","","","","8613955","","",""
"71","","","","","","","9,348.09","","1,299.82","","","127,770","","129,074","149,381",""
"72","","","","","","1.36e+07","194,094","28,177","16,007.4","","","1699976","","73,535.1","1741161",""
"73","","","","22,769.4","","","160,332","184,526","1.25e+07","206,059","","1887379","","1201584","2906973","1093317"
"74","","","","","","63,961.5","896,057","242,010","","","","31,416.9","","15,816","91,590.6",""
"75","","","","","","1669986","29,059.6","","5,333.75","","","388,779","","10,388.3","124,823",""
"76","","","","","","1055394","54,208.4","1400808","107,405","","","268,036","","11,584.3","652,914","78,801.6"
"78","","","","","","","","","","642,414","","","","","","4034307"
"79","","","","","","","","","","608,307","","","","","","4152137"
"110","","","","","","36,009.2","34,972.8","65,336.3","4591832","","","435,051","","40,686.4","598,373",""
"111","","","","","","393,557","39,554.5","8826998","76,036.2","","","362,489","326,159","402,671","2745044",""

". table bea67 IO15 [pw = perwt]  if sex == 1, cellwidth(10)"
"","","","","","","","","IO15","","","","","","",""
"bea67","Military","LABOR AGRI","LABOR HIGH","LABOR LOW","LABOR OTHR","PERSONAL S","RETAIL & W","LABOR HEAL","EDUCATION","POLICE & F","TRANS,COMM","MANAGERS","FIRE & PER","PROF COORD","SUPPORT LA","GOVT ADMIN"
"0","3261705","","","","","","","","","","","","","","",""
"1","","2316286","","","","","1,211.36","18,316.9","10,152.9","","","1177663","","3,185.96","5,120.19",""
"2","","3146091","","","202,143","","3,628","29,353.2","17,384.9","","","1631018","","73,792.5","41,409.1",""
"3","","184,525","","","","","","","","","","53,842.6","","1,375.92","9,147.29",""
"4","","316,520","","","","10,835.4","1,378.94","6,819.62","1,155.66","","","153,144","","","6,273.41",""
"5","","171,046","","","18,570","","","","","","","42,637.1","","14,453.5","8,809.28",""
"6","","191,448","","","12,534.6","","","","","","","41,395.8","","9,450.33","9,830.04",""
"7","","216,096","","","14,997.2","","1,167.8","","","","","28,422.4","","11,600.3","7,066.72",""
"8","","341,618","","","","","6,265.93","","","","","77,459.4","","25,001.3","31,114.7",""
"9","","99,429.5","","","20,918.3","","3,896.26","","","","","39,701.3","","52,530.8","28,983",""
"10","","99,458.7","","","","","3,961.55","","","","","24,406.2","","1,384.9","3,965.53",""
"11","","","","","5298104","","7,945.39","","1,264.4","","","1541576","","52,458.2","97,219.2",""
"12","","","","","5287433","","7,701.12","","","","","1593146","","37,224.8","86,837.2",""
"13","","","331,488","","","","","","","","","50,995.1","","22,596.5","27,752",""
"14","","2,753.09","","3255101","223,753","","3,015.94","1,320.54","","","","768,617","","310,193","250,007",""
"15","","","","83,206.3","","","","","","","","14,591.6","","5,136.14","2,949.3",""
"16","","","","1090959","","","","","","","","130,719","","44,943.4","69,523.3",""
"17","","","","348,470","","","","","","","","44,376.8","","13,258.4","29,855.2",""
"18","","","","488,549","582,319","","","","1,122.37","","","378,436","","291,302","194,691",""
"19","","","","104,650","","","","","","","","31,474.6","","13,731.6","11,390.1",""
"20","","383,007","5,860.98","939,534","18,761.1","","","","","","","292,286","","35,060.2","35,021",""
"21","","","","257,797","","","","","","","","27,098","","9,046.26","16,498.4",""
"22","","","","","160,623","","","","","","","98,380.6","","79,936","25,015.7",""
"23","","","","884,289","","","","","1,399.71","","","111,812","","39,624.2","61,505",""
"24","","","","977,967","29,018.8","","1,336.76","","","","","163,245","","78,422.8","70,164.8",""
"25","","","","437,386","38,337.7","","","","","","","76,617","","103,525","50,284.7",""
"26","","","1519145","22,509.8","","","491,273","","","","","397,070","","172,196","201,132",""
"27","","","1364097","","40,686.1","","","1,135.8","","","","299,589","","264,167","141,913",""
"28","","","147,061","","","","","","","","","43,549.8","","20,792.8","13,655.6",""
"29","","","279,854","","29,701.1","","","3,875.84","1,235.96","","","109,269","","177,983","47,978",""
"30","","","107,859","","","","","","","","","31,252.7","","22,942.7","16,240.2",""
"31","","","386,456","","88,931.6","","","","","","","160,825","","141,811","74,790.6",""
"32","","","847,910","","","","","","","","","174,679","","57,602.7","67,361.8",""
"33","","","","70,456.7","","","","","","","","8,871.57","","5,983.89","14,104.5",""
"34","","","","300,683","","","","","","","","54,350.5","","18,098.9","18,916.1",""
"35","","","","349,989","","","","","","","","52,830.5","","25,507.7","24,093",""
"36","","","","951,791","","","","","","","","130,268","","52,291.8","55,820.1",""
"37","","","2196013","","","","","","","","","156,077","","52,161.4","157,851",""
"38","","","911,195","","","","","","","","","105,808","","49,114.7","65,739.9",""
"39","","","912,039","","","","","","","","","139,371","","70,787","62,191.1",""
"40","","","1047382","","","","","","","","","145,457","","40,677.7","62,874.7",""
"41","","","481,666","","","","","","","","","73,926.8","","29,239.1","36,285.8",""
"42","","","272,396","","","","","","","","","39,984.4","","20,096.7","28,734.5",""
"43","","","203,934","","","","","","","","","35,618","","14,995.4","11,776.2",""
"44","","","407,678","","125,840","","1,479.98","","","","","169,867","","92,979.1","57,404.8",""
"45","","","235,980","","46,720.7","","","","","","","68,204.3","","55,144.5","38,209.6",""
"46","","","255,157","","61,946.2","","","","","","","85,727.4","","66,707","26,291.1",""
"47","","","582,349","","46,952.4","","","1,464.88","2,466.96","","","111,990","","89,796.7","45,714.3",""
"48","","","","","48,676.1","","","","","","","42,633.7","","18,226.2","13,044.6",""
"49","","","","","56,274.4","","","","","","","41,344.6","","34,368","12,283.6",""
"50","","","1101491","","45,091.5","","","","","","","220,309","","143,689","110,619",""
"51","","","440,015","","52,829.3","","","","1,226.45","","","214,962","","136,611","84,024.9",""
"52","","","","","128,957","","","","","","","94,167.6","","91,133.3","23,574",""
"53","","","396,956","","178,402","","","","","","","210,516","","215,347","104,951",""
"54","","","742,583","","25,801.1","","","","","","","201,325","","122,941","79,979.3",""
"55","","","","","26,110","","","","","","","21,559.9","","50,625.4","16,183.2",""
"56","","","1142845","","","","","","1,313.36","","","217,326","","108,845","113,178",""
"57","","","23,197.8","","","","","","","","","9,678.05","","5,165.26","1,399.8",""
"58","","","2571981","","","","","","1,333.63","","","229,186","","86,024.6","192,998",""
"59","","","1459034","","42,785.1","","","","5,672.27","","","233,198","","127,831","115,776",""
"60","","","686,267","","","","","","","","","40,315.7","","8,021.8","29,189.1",""
"61","","","1345362","","","","","","","","","206,038","","88,356","120,225",""
"62","","","179,476","","","","","","","","","38,913","","30,610.6","21,514.8",""
"63","","","228,514","","","","","","","","","42,989.1","","22,332.6","24,534.2",""
"64","","","572,913","","1533858","","2,281.38","","","","","352,713","","130,778","365,908",""
"65","","","","","2950669","","57,490.1","","3,856.89","","1154501","879,062","","173,890","2951403",""
