". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"72","","1.53e+07","311,519","1533287","45,166.9","118,276"
"73","1,307.19","7944354","594,672","7842034","1538802","2215386"
"74","","873,811","57,365.9","333,306","44,940.9","31,427.5"
"75","","1933223","70,268","214,484","6,475.28","3,919.88"
"76","","2239345","111,663","791,886","45,463.5","440,794"
"78","","2830052","181,126","1337046","89,957.9","238,540"
"79","","2959317","187,373","1249288","135,792","228,674"
"110","","1789606","134,511","2226197","636,818","1015130"
"111","","8149264","315,568","3007790","225,256","1474631"

". table bea67 educ_r [pw = perwt] if sex == 1, cellwidth(10)"
"","","RECODE of educ (Educational attainment recode)","",""
"bea67","No HS/GED","HS or GED","some colle","four-year","grad degre"
"0","1834222","155,700","988,491","86,861.4","196,431"
"1","3124501","75,343.8","308,092","13,114.6","10,884.2"
"2","4505870","69,619.6","505,308","16,323.7","47,698.3"
"3","182,108","4,010.34","51,807.8","2,636.93","8,327.23"
"4","447,257","5,481.86","34,090","","9,298.36"
"5","198,261","10,242.8","44,453.3","2,558.91",""
"6","236,287","2,759.47","23,003.9","","2,608.46"
"7","248,230","","31,120.1","",""
"8","308,224","10,177.6","130,859","11,372.5","20,826.9"
"9","180,784","7,772.46","52,974.2","","3,928.66"
"10","119,150","","14,026.6","",""
"11","6006034","141,166","799,278","22,138.9","29,950.2"
"12","5996806","172,776","789,723","27,592.3","25,446.2"
"13","328,439","15,689.6","72,073.7","2,513.07","14,116.3"
"14","3946793","119,414","686,838","18,852.3","42,863.3"
"15","87,719.9","3,989.48","14,174","",""
"16","1168442","18,896.4","140,988","3,937.71","3,880.57"
"17","377,224","5,508.75","49,419.4","","3,808.56"
"18","1499706","43,388.3","373,869","6,596.99","12,859.7"
"19","133,308","4,197.82","21,204.2","1,215.19","1,321.85"
"20","1543017","20,186.6","134,586","6,286.69","5,454.22"
"21","286,148","3,846.6","17,976.8","2,468.4",""
"22","274,712","8,052.95","76,003.8","2,714.53","2,471.43"
"23","974,665","26,252.8","86,231.5","6,175.95","5,304.91"
"24","1058524","36,623.1","210,620","10,768.1","3,620.93"
"25","548,370","20,355.2","119,113","9,918.86","8,393.67"
"26","2017190","95,932.4","622,194","28,262","39,746.2"
"27","1313780","55,223.2","620,991","40,162.9","81,430.1"
"28","133,609","9,834.48","60,671","6,636.3","14,307.7"
"29","368,731","21,079.5","237,062","7,927.72","15,095.6"
"30","126,163","6,414.54","43,149.3","1,296.1","1,271.67"
"31","513,246","31,421.3","268,735","13,928.8","25,483"
"32","856,962","34,618.9","238,101","4,021.14","13,850.5"
"33","82,150.7","2,507.13","13,665.1","1,093.79",""
"34","341,551","10,573.3","37,340.3","","2,584.07"
"35","350,043","8,475.48","78,217.5","","15,684.1"
"36","1000406","21,269.5","146,203","12,267","10,025.6"
"37","2219474","57,263.7","254,972","12,118","18,275.9"
"38","916,566","33,688.6","158,584","12,908.8","10,110.9"
"39","910,820","35,551.2","209,295","4,710.09","24,011.3"
"40","1065855","19,289.2","200,337","3,451.63","7,457.52"
"41","493,174","15,258.2","94,640.9","9,134.65","8,909.55"
"42","284,833","6,463.69","65,798.7","1,298.13","2,818.12"
"43","210,554","9,753.74","40,876.2","","5,139.55"
"44","627,230","34,147.5","174,177","8,679.83","11,014.8"
"45","338,636","16,263.8","81,391.6","3,988.44","3,979.67"
"46","358,513","12,870","115,442","3,699.31","5,304.4"
"47","685,729","19,463.8","155,509","10,341.2","9,690.68"
"48","73,618.3","6,311.57","38,776","2,565.01","1,309.71"
"49","88,110.5","1,251.25","49,635.5","4,045.38","1,228.06"
"50","1161274","63,273.4","340,430","21,712.6","34,509"
"51","484,011","37,148.3","338,545","27,004.5","42,961"
"52","222,911","10,812.3","97,759.1","2,507.82","3,842.07"
"53","695,622","37,612.8","337,817","20,564.5","14,556.7"
"54","735,791","32,742.5","339,457","28,134.6","36,503.5"
